sum,probability,count
208,0.00039221053823934756,831
209,0.00035303668183277013,748
210,0.0003181105929883517,674
211,0.0002846004266646529,603
212,0.00025486605372953994,540
213,0.0002265476033151466,480
214,0.00020153297211576582,427
215,0.0001779342634371047,377
216,0.00015716739979988295,333
217,0.00013734448450980762,291
218,0.00012035341426117164,255
219,0.00010430629235968208,221
220,9.061904132605864e-05,192
221,7.740376446600842e-05,164
222,6.654835847382431e-05,141
223,5.6164926655213425e-05,119
224,4.7669391530895427e-05,101
225,3.9645830580150654e-05,84
226,3.303819215012555e-05,70
227,2.6902527893673657e-05,57
228,2.2182786157941438e-05,47
229,1.7463044422209216e-05,37
230,1.4159225207196663e-05,30
231,1.0855405992184108e-05,23
232,8.495535124317997e-06,18
233,6.135664256451887e-06,13
234,4.71974173573222e-06,10
