id,Datum,Z1,Z2,Z3,Z4,Z5,EZ1,EZ2
205,2016-02-19,49,12,29,10,28,4,3
206,2016-02-26,19,45,11,42,9,7,10
207,2016-03-04,13,2,10,5,28,10,3
208,2016-03-11,10,31,16,40,37,9,3
209,2016-03-18,20,10,50,35,47,7,4
210,2016-03-25,35,9,19,20,10,4,3
211,2016-04-01,40,49,6,21,12,10,8
212,2016-04-08,16,1,2,31,50,7,1
213,2016-04-15,39,46,1,17,5,6,7
214,2016-04-22,31,5,33,49,28,2,1
215,2016-04-29,24,10,40,14,20,2,10
216,2016-05-06,45,24,46,12,38,10,6
217,2016-05-13,39,7,6,36,40,10,1
218,2016-05-20,6,23,19,33,34,7,4
219,2016-05-27,4,48,33,10,26,5,9
220,2016-06-03,13,32,20,47,34,6,9
221,2016-06-10,12,26,28,37,11,10,8
222,2016-06-17,44,16,23,18,19,3,1
223,2016-06-24,24,19,48,21,41,6,1
224,2016-07-01,50,47,37,29,38,2,4
225,2016-07-08,31,21,4,42,19,5,10
226,2016-07-15,12,38,36,50,22,9,2
227,2016-07-22,14,26,20,6,46,4,2
228,2016-07-29,22,8,36,4,44,5,10
229,2016-08-05,11,12,40,5,30,5,2
230,2016-08-12,15,6,38,21,18,4,1
231,2016-08-19,46,22,33,43,42,10,6
232,2016-08-26,9,33,4,8,43,5,9
233,2016-09-02,30,28,15,50,42,8,1
234,2016-09-09,11,27,35,34,39,10,6
235,2016-09-16,28,30,15,37,43,5,2
236,2016-09-23,1,45,7,25,23,8,5
237,2016-09-30,39,4,44,29,28,10,8
238,2016-10-07,1,43,20,44,10,9,6
239,2016-10-14,42,10,25,7,39,3,6
240,2016-10-21,28,35,14,16,34,3,9
241,2016-10-28,12,4,6,13,1,1,6
242,2016-11-04,15,16,50,22,14,2,10
243,2016-11-11,42,18,47,16,1,6,8
244,2016-11-18,16,7,40,10,32,6,1
245,2016-11-25,19,45,49,34,28,1,6
246,2016-12-02,39,48,1,20,50,3,7
247,2016-12-09,29,17,44,12,50,2,10
248,2016-12-16,2,34,25,24,3,6,8
249,2016-12-23,46,13,27,42,30,4,3
250,2016-12-30,27,30,50,47,45,9,1
251,2017-01-06,14,27,7,23,35,3,5
252,2017-01-13,45,2,26,44,21,1,6
253,2017-01-20,40,23,5,25,35,5,8
254,2017-01-27,15,12,29,19,48,7,9
255,2017-02-03,39,47,5,17,4,3,4
256,2017-02-10,13,23,44,31,42,2,5
257,2017-02-17,40,49,19,7,18,5,6
258,2017-02-24,13,19,7,20,1,8,6
259,2017-03-03,7,3,16,18,25,10,2
260,2017-03-10,18,20,35,13,46,7,8
261,2017-03-17,38,25,3,45,16,8,7
262,2017-03-24,25,30,44,36,26,3,9
263,2017-03-31,44,14,8,40,34,1,7
264,2017-04-07,46,45,27,43,10,8,4
265,2017-04-14,49,6,46,22,33,1,5
